id;gen;sp;ssp;group;en;rec;cnt;loc;lat;lng;alt;type;sex;stage;method;url;file;file-name;sono;osci;lic;q;length;time;date;uploaded;also;rmk;bird-seen;animal-seen;playback-used;temp;regnr;auto;dvc;mic;smp;secondes;minutes
490827;Branta;canadensis;;birds;Canada Goose;Stanislas Wroza;France;Les Bréviaires, Yvelines, Île-de-France;48.7181;1.8306;170;alarm call;;;field recording;//xeno-canto.org/490827;https://xeno-canto.org/490827/download;XC490827-Bernache du canada appels +.mp3;{'small': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC490827-small.png', 'med': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC490827-med.png', 'large': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC490827-large.png', 'full': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC490827-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC490827-small.png', 'med': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC490827-med.png', 'large': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC490827-large.png'};//creativecommons.org/licenses/by-nc-sa/4.0/;A;0:14;06:30;2019-08-03;2019-08-06;[];;yes;yes;no;;;no;;;48000.0;14;0
591104;Cygnus;atratus;;birds;Black Swan;Stanislas Wroza;France;Trappes, Yvelines, Île-de-France;48.7841;2.0079;160;call;;;field recording;//xeno-canto.org/591104;https://xeno-canto.org/591104/download;XC591104-Cygne noir couple divers cris + 2.mp3;{'small': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC591104-small.png', 'med': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC591104-med.png', 'large': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC591104-large.png', 'full': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC591104-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC591104-small.png', 'med': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC591104-med.png', 'large': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC591104-large.png'};//creativecommons.org/licenses/by-nc-sa/4.0/;A;0:14;07:30;2020-09-26;2020-09-26;[];Feral population, now considered as belonging to French avifauna;yes;yes;no;;;no;;;44100.0;14;0
522571;Cygnus;atratus;;birds;Black Swan;Stanislas Wroza;France;La Celle-les-Bordes, Yvelines, Île-de-France;48.637;1.9503;130;flight call;;;field recording;//xeno-canto.org/522571;https://xeno-canto.org/522571/download;XC522571-Cygne noir cris de vol ++.mp3;{'small': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC522571-small.png', 'med': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC522571-med.png', 'large': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC522571-large.png', 'full': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC522571-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC522571-small.png', 'med': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC522571-med.png', 'large': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC522571-large.png'};//creativecommons.org/licenses/by-nc-sa/4.0/;A;0:16;13:00;2020-01-25;2020-01-27;[];;yes;yes;no;;;no;;;48000.0;16;0
522565;Aix;sponsa;;birds;Wood Duck;Stanislas Wroza;France;La Celle-les-Bordes, Yvelines, Île-de-France;48.637;1.9503;130;call, flight call;;;field recording;//xeno-canto.org/522565;https://xeno-canto.org/522565/download;XC522565-Canard carolin divers cris +.mp3;{'small': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC522565-small.png', 'med': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC522565-med.png', 'large': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC522565-large.png', 'full': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC522565-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC522565-small.png', 'med': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC522565-med.png', 'large': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC522565-large.png'};//creativecommons.org/licenses/by-nc-sa/4.0/;A;0:10;13:00;2020-01-25;2020-01-27;[];Feral population;yes;yes;no;;;no;;;48000.0;10;0
531600;Aix;galericulata;;birds;Mandarin Duck;Stanislas Wroza;France;Gif-sur-Yvette, Essonne, Île-de-France;48.7027;2.1156;70;flight call;female;;field recording;//xeno-canto.org/531600;https://xeno-canto.org/531600/download;XC531600-Canard mandarin cris d envol.mp3;{'small': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC531600-small.png', 'med': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC531600-med.png', 'large': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC531600-large.png', 'full': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC531600-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC531600-small.png', 'med': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC531600-med.png', 'large': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC531600-large.png'};//creativecommons.org/licenses/by-nc-sa/4.0/;A;0:06;19:30;2020-03-02;2020-03-03;[];;yes;yes;no;;;no;;;48000.0;6;0
522569;Callonetta;leucophrys;;birds;Ringed Teal;Stanislas Wroza;France;La Celle-les-Bordes, Yvelines, Île-de-France;48.637;1.9503;130;call;;;field recording;//xeno-canto.org/522569;https://xeno-canto.org/522569/download;XC522569-Sarcelle a collier sifflements +.mp3;{'small': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC522569-small.png', 'med': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC522569-med.png', 'large': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC522569-large.png', 'full': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC522569-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC522569-small.png', 'med': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC522569-med.png', 'large': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC522569-large.png'};//creativecommons.org/licenses/by-nc-sa/4.0/;A;0:06;13:00;2020-01-25;2020-01-27;[];Feral population;yes;yes;no;;;no;;;48000.0;6;0
616021;Anas;platyrhynchos;;birds;Mallard;Stanislas Wroza;France;Gif-sur-Yvette, Essonne, Île-de-France;48.7027;2.1156;70;call, flight call;female, male;;field recording;//xeno-canto.org/616021;https://xeno-canto.org/616021/download;XC616021-Canard colvert couple vol +.mp3;{'small': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC616021-small.png', 'med': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC616021-med.png', 'large': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC616021-large.png', 'full': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC616021-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC616021-small.png', 'med': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC616021-med.png', 'large': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC616021-large.png'};//creativecommons.org/licenses/by-nc-sa/4.0/;A;0:20;08:00;2021-01-13;2021-01-19;[];;yes;yes;no;;;no;;;48000.0;20;0
542919;Anas;platyrhynchos;;birds;Mallard;Stanislas Wroza;France;Chavenay, Yvelines, Île-de-France;48.845;1.9989;80;flight call, nocturnal flight call;female, male;;field recording;//xeno-canto.org/542919;https://xeno-canto.org/542919/download;XC542919-20200402_030000 Canard colvert male fem nocmig.mp3;{'small': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC542919-small.png', 'med': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC542919-med.png', 'large': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC542919-large.png', 'full': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC542919-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC542919-small.png', 'med': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC542919-med.png', 'large': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC542919-large.png'};//creativecommons.org/licenses/by-nc-sa/4.0/;A;0:12;03:00;2020-04-01;2020-04-07;[];Sound trap;no;no;no;;;no;;;48000.0;12;0
519495;Anas;platyrhynchos;;birds;Mallard;Stanislas Wroza;France;Gif-sur-Yvette, Essonne, Île-de-France;48.7027;2.1156;70;flight call;female;;field recording;//xeno-canto.org/519495;https://xeno-canto.org/519495/download;XC519495-Canard colvert vol ++.mp3;{'small': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC519495-small.png', 'med': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC519495-med.png', 'large': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC519495-large.png', 'full': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC519495-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC519495-small.png', 'med': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC519495-med.png', 'large': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC519495-large.png'};//creativecommons.org/licenses/by-nc-sa/4.0/;A;0:18;08:30;2020-01-11;2020-01-12;[];;yes;yes;no;;;no;;;48000.0;18;0
518422;Anas;platyrhynchos;;birds;Mallard;Marie-Lan Taÿ Pamart;France;Jardin des Plantes (near  Paris), Arrondissement de Paris, Île-de-France;48.8433;2.361;30;call;female;;field recording;//xeno-canto.org/518422;https://xeno-canto.org/518422/download;XC518422-ANAPLA 20200108 1217.mp3;{'small': '//xeno-canto.org/sounds/uploaded/CGRIFXISGE/ffts/XC518422-small.png', 'med': '//xeno-canto.org/sounds/uploaded/CGRIFXISGE/ffts/XC518422-med.png', 'large': '//xeno-canto.org/sounds/uploaded/CGRIFXISGE/ffts/XC518422-large.png', 'full': '//xeno-canto.org/sounds/uploaded/CGRIFXISGE/ffts/XC518422-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/CGRIFXISGE/wave/XC518422-small.png', 'med': '//xeno-canto.org/sounds/uploaded/CGRIFXISGE/wave/XC518422-med.png', 'large': '//xeno-canto.org/sounds/uploaded/CGRIFXISGE/wave/XC518422-large.png'};//creativecommons.org/licenses/by-sa/4.0/;A;0:06;12:00;2020-01-08;2020-01-08;[];"Female mallard muttering while foraging in the pond of a public park.

Distance: ~2m

Equipment: Tascam DR-100MkIII + Sennheiser K6/ME66

Edits: none";yes;yes;no;;;no;;;48000.0;6;0
