id;gen;sp;ssp;group;en;rec;cnt;loc;lat;lng;alt;type;sex;stage;method;url;file;file-name;sono;osci;lic;q;length;time;date;uploaded;also;rmk;bird-seen;animal-seen;playback-used;temp;regnr;auto;dvc;mic;smp;secondes;minutes;type_fichier
763115;Branta;bernicla;;birds;Brant Goose;Sacha Balavoine;France;Observatoire ornithologique (near  Hillion), Côtes-d'Armor, Bretagne;48.5118;-2.6767;0;flight call;female, male;adult, juvenile;field recording;//xeno-canto.org/763115;https://xeno-canto.org/763115/download;XC763115-bernache-cravant-flying.mp3;{'small': '//xeno-canto.org/sounds/uploaded/QVMBOMNAVO/ffts/XC763115-small.png', 'med': '//xeno-canto.org/sounds/uploaded/QVMBOMNAVO/ffts/XC763115-med.png', 'large': '//xeno-canto.org/sounds/uploaded/QVMBOMNAVO/ffts/XC763115-large.png', 'full': '//xeno-canto.org/sounds/uploaded/QVMBOMNAVO/ffts/XC763115-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/QVMBOMNAVO/wave/XC763115-small.png', 'med': '//xeno-canto.org/sounds/uploaded/QVMBOMNAVO/wave/XC763115-med.png', 'large': '//xeno-canto.org/sounds/uploaded/QVMBOMNAVO/wave/XC763115-large.png'};//creativecommons.org/licenses/by-nc-sa/4.0/;A;0:06;10:00;2022-11-24;2022-11-24;[];;yes;yes;no;;;no;;;48000.0;6;0;MP3
655116;Spatula;querquedula;;birds;Garganey;Philippe J. DUBOIS;France;Belz, Morbihan, Bretagne;47.661;-3.1838;10;nocturnal flight call;male;;field recording;//xeno-canto.org/655116;https://xeno-canto.org/655116/download;XC655116-SAR d'été (cris mâle) - Magourin, Belz-56 - 2021.05.05 - 22h55.mp3;{'small': '//xeno-canto.org/sounds/uploaded/RAJQNYIYPD/ffts/XC655116-small.png', 'med': '//xeno-canto.org/sounds/uploaded/RAJQNYIYPD/ffts/XC655116-med.png', 'large': '//xeno-canto.org/sounds/uploaded/RAJQNYIYPD/ffts/XC655116-large.png', 'full': '//xeno-canto.org/sounds/uploaded/RAJQNYIYPD/ffts/XC655116-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/RAJQNYIYPD/wave/XC655116-small.png', 'med': '//xeno-canto.org/sounds/uploaded/RAJQNYIYPD/wave/XC655116-med.png', 'large': '//xeno-canto.org/sounds/uploaded/RAJQNYIYPD/wave/XC655116-large.png'};//creativecommons.org/licenses/by-nc-sa/4.0/;A;0:06;23:00;2021-06-05;2021-06-07;[];;no;no;no;;;no;;;44100.0;6;0;MP3
613833;Anas;crecca;;birds;Eurasian Teal;Adrien Mauss;France;Plougastel-Daoulas, Finistère, Bretagne;48.3421;-4.4003;10;call;;;field recording;//xeno-canto.org/613833;https://xeno-canto.org/613833/download;XC613833-210107_0428_2363_chapellestadrien_sarcelledhiveralt_A.mp3;{'small': '//xeno-canto.org/sounds/uploaded/WICPTAWEIC/ffts/XC613833-small.png', 'med': '//xeno-canto.org/sounds/uploaded/WICPTAWEIC/ffts/XC613833-med.png', 'large': '//xeno-canto.org/sounds/uploaded/WICPTAWEIC/ffts/XC613833-large.png', 'full': '//xeno-canto.org/sounds/uploaded/WICPTAWEIC/ffts/XC613833-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/WICPTAWEIC/wave/XC613833-small.png', 'med': '//xeno-canto.org/sounds/uploaded/WICPTAWEIC/wave/XC613833-med.png', 'large': '//xeno-canto.org/sounds/uploaded/WICPTAWEIC/wave/XC613833-large.png'};//creativecommons.org/licenses/by-nc-sa/4.0/;A;0:10;04:28;2021-01-07;2021-01-08;['Strix aluco'];Alternate call. Soundtrap.;no;no;no;;;no;;;44100.0;10;0;MP3
794976;Cuculus;canorus;;birds;Common Cuckoo;Ludivine Delamare;France;Ploërmel, Morbihan, Bretagne;47.8954;-2.4272;50;song;male;adult;field recording;//xeno-canto.org/794976;https://xeno-canto.org/794976/download;XC794976-CUCCUC_56_Ploermel_Roc-Brien_230421_0525.mp3;{'small': '//xeno-canto.org/sounds/uploaded/DOFMPZOKOJ/ffts/XC794976-small.png', 'med': '//xeno-canto.org/sounds/uploaded/DOFMPZOKOJ/ffts/XC794976-med.png', 'large': '//xeno-canto.org/sounds/uploaded/DOFMPZOKOJ/ffts/XC794976-large.png', 'full': '//xeno-canto.org/sounds/uploaded/DOFMPZOKOJ/ffts/XC794976-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/DOFMPZOKOJ/wave/XC794976-small.png', 'med': '//xeno-canto.org/sounds/uploaded/DOFMPZOKOJ/wave/XC794976-med.png', 'large': '//xeno-canto.org/sounds/uploaded/DOFMPZOKOJ/wave/XC794976-large.png'};//creativecommons.org/licenses/by-nc-sa/4.0/;A;0:15;21:00;2023-04-21;2023-04-22;['Cyanistes caeruleus', 'Turdus merula', 'Passer domesticus'];;yes;yes;no;;;no;Tascam DR05;Wiltronics parabole;44100.0;15;0;MP3
730579;Cuculus;canorus;;birds;Common Cuckoo;Sonothèque ADVL;France;Sougéal, Ille-et-Vilaine, Bretagne;48.5114;-1.506;0;call, song;male;;field recording;//xeno-canto.org/730579;https://xeno-canto.org/730579/download;XC730579-Coucougris_03052022_sougéalchalandrel_19h cri et chant mâle.mp3;{'small': '//xeno-canto.org/sounds/uploaded/BJAXFFKOML/ffts/XC730579-small.png', 'med': '//xeno-canto.org/sounds/uploaded/BJAXFFKOML/ffts/XC730579-med.png', 'large': '//xeno-canto.org/sounds/uploaded/BJAXFFKOML/ffts/XC730579-large.png', 'full': '//xeno-canto.org/sounds/uploaded/BJAXFFKOML/ffts/XC730579-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/BJAXFFKOML/wave/XC730579-small.png', 'med': '//xeno-canto.org/sounds/uploaded/BJAXFFKOML/wave/XC730579-med.png', 'large': '//xeno-canto.org/sounds/uploaded/BJAXFFKOML/wave/XC730579-large.png'};//creativecommons.org/publicdomain/zero/1.0/;A;0:15;19:00;2022-05-03;2022-06-09;[];Sonothèque des oiseaux de Carolles et de la baie du Mont-Saint-Michel. Association de Défense de la Vallée du Lude et des sites environnants. Enregistrement Corentin Rivière.;unknown;unknown;unknown;;;no;;;48000.0;15;0;MP3
883871;Columba;palumbus;;birds;Common Wood Pigeon;Frantz Barrault;France;Landerneau, Finistère, Bretagne;48.459;-4.2603;70;song;male;adult;field recording;//xeno-canto.org/883871;https://xeno-canto.org/883871/download;XC883871-Pigeon_ramier_2024-03-17_7h30.mp3;{'small': '//xeno-canto.org/sounds/uploaded/RJUNGDNCSJ/ffts/XC883871-small.png', 'med': '//xeno-canto.org/sounds/uploaded/RJUNGDNCSJ/ffts/XC883871-med.png', 'large': '//xeno-canto.org/sounds/uploaded/RJUNGDNCSJ/ffts/XC883871-large.png', 'full': '//xeno-canto.org/sounds/uploaded/RJUNGDNCSJ/ffts/XC883871-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/RJUNGDNCSJ/wave/XC883871-small.png', 'med': '//xeno-canto.org/sounds/uploaded/RJUNGDNCSJ/wave/XC883871-med.png', 'large': '//xeno-canto.org/sounds/uploaded/RJUNGDNCSJ/wave/XC883871-large.png'};//creativecommons.org/licenses/by-nc-sa/4.0/;A;0:12;07:30;2024-03-17;2024-03-22;['Coloeus monedula', 'Troglodytes troglodytes'];;no;no;no;;;yes;Tascam DRO5X ;Tascam DR05X;44100.0;12;0;MP3
862628;Streptopelia;turtur;;birds;European Turtle Dove;Olivier SWIFT;France;Arrondissement de Rennes (near  Paimpont), Ille-et-Vilaine, Bretagne, bosquet de la Roncière;48.0366;-2.1868;170;song;male;adult;field recording;//xeno-canto.org/862628;https://xeno-canto.org/862628/download;XC862628-STRTUR_230521_3403_Paimpont_Ronciere35.mp3;{'small': '//xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC862628-small.png', 'med': '//xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC862628-med.png', 'large': '//xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC862628-large.png', 'full': '//xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC862628-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/wave/XC862628-small.png', 'med': '//xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/wave/XC862628-med.png', 'large': '//xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/wave/XC862628-large.png'};//creativecommons.org/licenses/by-nc-sa/4.0/;A;0:16;06:29;2023-05-21;2024-01-19;['Fringilla coelebs'];"This little wood was razed in November 2023 to increase corn production. This recording concerns the sounds of the last population of these protected species, sacrificed to intensive agriculture without any reaction from French institutions.

Ce boisement a été rasé en novembre 2023 pour augmenté une production de maïs. Cet enregistrement concerne les sons de la dernière population de ces espèces protégées, sacrifiées à l'agriculture intensive sans aucune réaction des institutions françaises.";no;no;no;;;no;Tascam DR05X;Dodotronic AOM5024L Stereo parabole;48000.0;16;0;MP3
730609;Streptopelia;turtur;;birds;European Turtle Dove;Sonothèque ADVL;France;Sougéal, Ille-et-Vilaine, Bretagne;48.5114;-1.506;0;song;;;field recording;//xeno-canto.org/730609;https://xeno-canto.org/730609/download;XC730609-Tourterelledesbois_03052022_sougélchalandrel_19h chant.mp3;{'small': '//xeno-canto.org/sounds/uploaded/BJAXFFKOML/ffts/XC730609-small.png', 'med': '//xeno-canto.org/sounds/uploaded/BJAXFFKOML/ffts/XC730609-med.png', 'large': '//xeno-canto.org/sounds/uploaded/BJAXFFKOML/ffts/XC730609-large.png', 'full': '//xeno-canto.org/sounds/uploaded/BJAXFFKOML/ffts/XC730609-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/BJAXFFKOML/wave/XC730609-small.png', 'med': '//xeno-canto.org/sounds/uploaded/BJAXFFKOML/wave/XC730609-med.png', 'large': '//xeno-canto.org/sounds/uploaded/BJAXFFKOML/wave/XC730609-large.png'};//creativecommons.org/publicdomain/zero/1.0/;A;0:14;19:00;2022-05-03;2022-06-09;[];Sonothèque des oiseaux de Carolles et de la baie du Mont-Saint-Michel. Association de Défense de la Vallée du Lude et des sites environnants. Enregistrement Corentin Rivière.;unknown;unknown;unknown;;;no;;;48000.0;14;0;MP3
781839;Streptopelia;decaocto;;birds;Eurasian Collared Dove;Bernard BOUSQUET;France;Arrondissement de Rennes (near  Rennes), Ille-et-Vilaine, Bretagne;48.1252;-1.6345;60;call, song;uncertain;uncertain;field recording;//xeno-canto.org/781839;https://xeno-canto.org/781839/download;XC781839-STE-000TurqueXC.mp3;{'small': '//xeno-canto.org/sounds/uploaded/THHNKSHUMO/ffts/XC781839-small.png', 'med': '//xeno-canto.org/sounds/uploaded/THHNKSHUMO/ffts/XC781839-med.png', 'large': '//xeno-canto.org/sounds/uploaded/THHNKSHUMO/ffts/XC781839-large.png', 'full': '//xeno-canto.org/sounds/uploaded/THHNKSHUMO/ffts/XC781839-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/THHNKSHUMO/wave/XC781839-small.png', 'med': '//xeno-canto.org/sounds/uploaded/THHNKSHUMO/wave/XC781839-med.png', 'large': '//xeno-canto.org/sounds/uploaded/THHNKSHUMO/wave/XC781839-large.png'};//creativecommons.org/licenses/by-nc-sa/4.0/;A;0:15;08:30;2023-02-13;2023-02-21;['Passer domesticus'];;yes;yes;no;;;no;;;44100.0;15;0;MP3
938503;Rallus;aquaticus;;birds;Water Rail;Falco;France;Arrondissement de Brest (near  Ouessant), Finistère, Bretagne;48.4539;-5.0853;20;song;;;field recording;//xeno-canto.org/938503;https://xeno-canto.org/938503/download;XC938503-Rale-eau-cris-Ouessant-4-octobre-24-10h04.mp3;{'small': '//xeno-canto.org/sounds/uploaded/DUUYLLTNQS/ffts/XC938503-small.png', 'med': '//xeno-canto.org/sounds/uploaded/DUUYLLTNQS/ffts/XC938503-med.png', 'large': '//xeno-canto.org/sounds/uploaded/DUUYLLTNQS/ffts/XC938503-large.png', 'full': '//xeno-canto.org/sounds/uploaded/DUUYLLTNQS/ffts/XC938503-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/DUUYLLTNQS/wave/XC938503-small.png', 'med': '//xeno-canto.org/sounds/uploaded/DUUYLLTNQS/wave/XC938503-med.png', 'large': '//xeno-canto.org/sounds/uploaded/DUUYLLTNQS/wave/XC938503-large.png'};//creativecommons.org/licenses/by-nc-sa/4.0/;A;0:10;10:04;2024-10-04;2024-10-07;[];bruit du vent perceptible;no;no;no;;;no;Olympus LS-12; micros AOM5024 + miniparabole Dodotronic Hi-Sound Compact;48000.0;10;0;MP3
